cohorte,sesiones,ninos,mensajes,turnos_media,turnos_sd,preguntas_media,dur_media,dur_sd,bloques_media,closed_pct,abandoned_pct,active_pct
A_todos,89,28,2789,15.2,13.2,2.5,15.9,13.7,7.6,42.7,43.8,13.5
B_edad_10_13,85,25,2725,15.5,13.4,2.5,15.9,13.7,7.8,42.4,44.7,12.9
