cohorte,n_sesiones,closed_n,closed_pct,abandoned_n,abandoned_pct,active_n,active_pct
A_todos,102,43,42.2,43,42.2,16,15.7
B_edad_10_13,98,41,41.8,42,42.9,15,15.3
