cohorte,children,sessions,messages,child_msg,bit_msg,bit_msg_llm,bit_msg_apertura,exercises_incl_libre,exercises,turns,questions,blocks_sugg
A_todos,28,102,2802,1350,1452,1350,102,7,6,1350,224,674
B_edad_10_13,25,98,2738,1320,1418,1320,98,7,6,1320,213,664
