cohorte,n_sesiones,turns_mean,turns_sd,messages_mean,messages_sd,questions_mean,questions_sd,duration_mean,duration_sd,blocks_mean,blocks_sd
A_todos,102,13.24,13.35,27.47,26.69,2.2,2.65,13.87,13.82,6.61,7.48
B_edad_10_13,98,13.47,13.55,27.94,27.09,2.17,2.67,13.75,13.87,6.78,7.58
